iter	Passed	Remaining
608	1764	1132
609	1766	1129
610	1769	1126
611	1771	1123
612	1773	1119
613	1778	1117
614	1780	1114
615	1783	1111
616	1785	1108
617	1788	1105
618	1790	1102
619	1793	1099
620	1795	1095
621	1798	1092
622	1800	1089
623	1802	1086
624	1806	1083
625	1809	1080
626	1812	1078
627	1815	1075
628	1818	1072
629	1820	1069
630	1823	1066
631	1826	1063
632	1829	1060
633	1832	1057
634	1835	1054
635	1837	1051
636	1842	1049
637	1844	1046
638	1846	1043
639	1848	1039
640	1850	1036
641	1853	1033
642	1855	1029
643	1857	1026
644	1860	1023
645	1862	1020
646	1865	1017
647	1867	1014
648	1872	1012
649	1876	1010
650	1878	1007
651	1881	1004
652	1884	1001
653	1886	998
654	1889	994
655	1891	991
656	1894	988
657	1896	985
658	1899	982
659	1902	979
660	1904	976
661	1907	973
662	1909	970
663	1913	968
664	1917	965
665	1920	962
666	1922	959
667	1925	956
668	1928	954
669	1931	951
670	1934	948
671	1936	945
672	1939	942
673	1942	939
674	1945	936
675	1948	934
676	1951	931
677	1953	927
678	1956	924
679	1959	922
680	1962	919
681	1965	916
682	1967	913
683	1970	910
684	1972	907
685	1975	904
686	1978	901
687	1980	898
688	1982	895
689	1984	891
690	1987	888
691	1989	885
692	1992	882
693	1994	879
694	1996	876
695	1998	873
696	2001	869
697	2003	866
698	2006	863
699	2008	860
700	2011	857
701	2013	854
702	2016	851
703	2019	849
704	2022	846
705	2024	843
706	2027	840
707	2030	837
708	2033	834
709	2036	831
710	2038	828
711	2041	825
712	2044	822
713	2048	820
714	2051	817
715	2053	814
716	2056	811
717	2059	808
718	2062	805
719	2064	802
720	2067	799
721	2069	796
722	2072	793
723	2074	790
724	2077	788
725	2080	785
726	2082	782
727	2085	779
728	2087	776
729	2090	773
730	2093	770
731	2095	767
732	2098	764
733	2101	761
734	2104	758
735	2107	755
736	2111	753
737	2114	750
738	2117	747
739	2119	744
740	2123	742
741	2125	739
742	2128	736
743	2131	733
744	2134	730
745	2136	727
746	2139	724
747	2141	721
748	2143	718
749	2146	715
750	2149	712
751	2152	709
752	2155	706
753	2158	704
754	2161	701
755	2164	698
756	2167	695
757	2169	692
758	2171	689
759	2174	686
760	2179	684
761	2182	681
762	2186	679
763	2190	676
764	2192	673
765	2196	671
766	2199	668
767	2201	665
768	2204	662
769	2207	659
770	2210	656
771	2212	653
772	2215	650
773	2231	651
774	2234	648
775	2236	645
776	2239	642
777	2242	639
778	2244	636
779	2247	633
780	2249	630
781	2251	627
782	2254	624
783	2257	621
784	2259	618
785	2262	615
786	2264	612
787	2266	609
788	2270	607
789	2272	604
790	2275	601
791	2277	598
792	2280	595
793	2282	592
794	2285	589
795	2288	586
796	2290	583
797	2293	580
798	2295	577
799	2298	574
800	2301	571
801	2304	568
802	2307	566
803	2309	563
804	2311	559
805	2314	557
806	2317	554
807	2320	551
808	2323	548
809	2325	545
810	2328	542
811	2330	539
812	2333	536
813	2335	533
814	2337	530
815	2340	527
816	2343	524
817	2346	521
818	2348	519
819	2351	516
820	2353	513
821	2356	510
822	2359	507
823	2362	504
824	2364	501
825	2367	498
826	2370	495
827	2372	492
828	2375	489
829	2377	487
830	2379	484
831	2382	481
832	2384	478
833	2387	475
834	2390	472
835	2392	469
836	2394	466
837	2397	463
838	2399	460
839	2402	457
840	2405	454
841	2408	451
842	2411	449
843	2414	446
844	2416	443
845	2419	440
846	2421	437
847	2423	434
848	2426	431
849	2428	428
850	2431	425
851	2433	422
852	2436	419
853	2438	416
854	2441	414
855	2443	411
856	2446	408
857	2450	405
858	2453	402
859	2456	399
860	2458	396
861	2461	393
862	2463	391
863	2465	388
864	2468	385
865	2471	382
866	2473	379
867	2475	376
868	2477	373
869	2480	370
870	2482	367
871	2484	364
872	2487	361
873	2489	358
874	2491	355
875	2493	352
876	2495	350
877	2498	347
878	2500	344
879	2502	341
880	2504	338
881	2506	335
882	2509	332
883	2511	329
884	2514	326
885	2516	323
886	2518	320
887	2521	317
888	2523	315
889	2526	312
890	2528	309
891	2530	306
892	2532	303
893	2535	300
894	2537	297
895	2540	294
896	2543	292
897	2545	289
898	2548	286
899	2550	283
900	2553	280
901	2555	277
902	2558	274
903	2560	271
904	2562	269
905	2565	266
906	2568	263
907	2570	260
908	2573	257
909	2575	254
910	2578	251
911	2582	249
912	2584	246
913	2587	243
914	2589	240
915	2592	237
916	2595	234
917	2597	232
918	2599	229
919	2602	226
920	2604	223
921	2606	220
922	2609	217
923	2612	214
924	2614	211
925	2616	209
926	2619	206
927	2621	203
928	2623	200
929	2626	197
930	2629	194
931	2631	192
932	2634	189
933	2636	186
934	2639	183
935	2642	180
936	2644	177
937	2647	174
938	2649	172
939	2651	169
940	2654	166
941	2656	163
942	2658	160
943	2660	157
944	2662	154
945	2665	152
946	2668	149
947	2671	146
948	2674	143
949	2677	140
950	2679	138
951	2682	135
952	2684	132
953	2687	129
954	2689	126
955	2692	123
956	2694	121
957	2697	118
958	2700	115
959	2702	112
960	2705	109
961	2707	106
962	2710	104
963	2712	101
964	2715	98
965	2717	95
966	2720	92
967	2722	90
968	2725	87
969	2727	84
970	2730	81
971	2733	78
972	2735	75
973	2737	73
974	2740	70
975	2743	67
976	2746	64
977	2749	61
978	2751	59
979	2754	56
980	2758	53
981	2761	50
982	2763	47
983	2766	44
984	2768	42
985	2771	39
986	2774	36
987	2778	33
988	2780	30
989	2783	28
990	2786	25
991	2789	22
992	2791	19
993	2794	16
994	2796	14
995	2799	11
996	2801	8
997	2804	5
998	2807	2
999	2809	0
